id,nombre,fecha_ingreso,edad,sexo,fecha_retiro,cargo
1,Trabajador_1,2025-06-03,33,M,,Ingeniero
2,Trabajador_2,2023-01-04,38,M,2025-02-27,Director
3,Trabajador_3,2025-08-04,32,F,,Consultor
4,Trabajador_4,2024-07-13,60,M,,Gerente
5,Trabajador_5,2024-05-05,21,M,2024-11-09,Consultor
6,Trabajador_6,2024-02-19,38,M,2024-07-21,Consultor
7,Trabajador_7,2023-02-05,43,M,,Director
8,Trabajador_8,2023-01-02,20,M,,Ingeniero
9,Trabajador_9,2024-06-10,20,F,,Consultor
10,Trabajador_10,2025-01-13,53,M,,Coordinador
11,Trabajador_11,2020-04-16,49,M,2022-09-24,Ingeniero
12,Trabajador_12,2023-06-07,19,M,,Ingeniero
13,Trabajador_13,2024-03-10,40,M,2024-07-22,Coordinador
14,Trabajador_14,2023-08-01,64,M,2024-04-11,Ingeniero
15,Trabajador_15,2025-09-26,59,M,,Consultor
16,Trabajador_16,2022-01-14,49,F,2022-09-03,Gerente
17,Trabajador_17,2023-04-05,22,F,,Ingeniero
18,Trabajador_18,2024-05-14,23,F,,Analista
19,Trabajador_19,2024-12-13,55,F,2025-10-18,Consultor
20,Trabajador_20,2025-07-17,22,F,,Ingeniero
21,Trabajador_21,2024-12-22,27,M,,Consultor
22,Trabajador_22,2024-06-08,48,F,,Auxiliar
23,Trabajador_23,2020-09-08,37,M,2022-11-10,Coordinador
24,Trabajador_24,2025-12-04,30,M,,Consultor
25,Trabajador_25,2023-09-13,44,M,2024-10-23,Director
26,Trabajador_26,2023-01-27,23,M,,Analista
27,Trabajador_27,2024-08-04,43,M,,Director
28,Trabajador_28,2024-05-19,54,M,2025-03-11,Coordinador
29,Trabajador_29,2024-09-25,25,M,2025-04-10,Ingeniero
30,Trabajador_30,2025-02-05,61,M,,Gerente
31,Trabajador_31,2023-12-20,39,F,,Analista
32,Trabajador_32,2022-10-25,62,M,,Gerente
33,Trabajador_33,2024-07-05,19,F,,Ingeniero
34,Trabajador_34,2025-06-16,52,F,,Analista
35,Trabajador_35,2024-09-28,28,F,,Analista
36,Trabajador_36,2025-11-07,57,M,,Auxiliar
37,Trabajador_37,2021-12-12,56,F,2022-07-20,Analista
38,Trabajador_38,2023-01-23,24,M,2023-04-18,Director
39,Trabajador_39,2023-06-27,19,F,,Analista
40,Trabajador_40,2025-01-16,55,F,,Auxiliar
41,Trabajador_41,2024-12-06,19,F,,Coordinador
42,Trabajador_42,2023-07-05,54,M,2025-05-19,Auxiliar
43,Trabajador_43,2025-07-23,36,F,,Gerente
44,Trabajador_44,2024-08-26,33,M,,Auxiliar
45,Trabajador_45,2022-06-12,23,M,2024-07-02,Director
46,Trabajador_46,2024-04-16,48,F,2024-11-30,Coordinador
47,Trabajador_47,2025-03-16,63,M,,Ingeniero
48,Trabajador_48,2022-03-05,43,M,2024-06-08,Auxiliar
49,Trabajador_49,2025-12-28,26,F,,Ingeniero
50,Trabajador_50,2024-07-01,57,F,2024-12-11,Consultor
51,Trabajador_51,2024-05-25,56,M,2025-09-03,Auxiliar
52,Trabajador_52,2024-09-14,25,F,,Consultor
53,Trabajador_53,2024-04-18,42,M,,Analista
54,Trabajador_54,2025-03-25,52,M,,Director
55,Trabajador_55,2021-03-26,33,M,2021-05-29,Ingeniero
56,Trabajador_56,2022-09-12,44,M,2024-01-09,Analista
57,Trabajador_57,2023-07-06,19,F,2024-11-27,Gerente
58,Trabajador_58,2024-12-20,24,M,2025-08-02,Director
59,Trabajador_59,2023-03-05,29,F,,Director
60,Trabajador_60,2023-04-15,50,M,,Director
61,Trabajador_61,2025-12-12,58,M,,Auxiliar
62,Trabajador_62,2025-09-12,44,F,2025-10-13,Auxiliar
63,Trabajador_63,2023-06-28,61,F,2024-11-02,Analista
64,Trabajador_64,2025-10-11,28,F,,Analista
65,Trabajador_65,2024-02-27,58,F,,Director
66,Trabajador_66,2023-10-04,33,M,2025-05-02,Director
67,Trabajador_67,2023-09-05,49,F,,Coordinador
68,Trabajador_68,2024-09-06,20,M,,Director
69,Trabajador_69,2021-07-10,56,F,,Coordinador
70,Trabajador_70,2025-07-05,50,M,,Analista
71,Trabajador_71,2022-04-23,34,F,,Director
72,Trabajador_72,2022-05-02,43,M,2022-07-31,Director
73,Trabajador_73,2025-04-17,61,F,,Director
74,Trabajador_74,2022-03-15,31,M,2024-10-17,Director
75,Trabajador_75,2025-07-04,36,M,,Consultor
76,Trabajador_76,2024-04-06,65,F,2024-09-30,Ingeniero
77,Trabajador_77,2024-09-08,61,M,,Coordinador
78,Trabajador_78,2024-11-27,49,M,,Gerente
79,Trabajador_79,2021-08-01,34,M,2024-04-19,Coordinador
80,Trabajador_80,2024-01-17,27,M,2024-12-03,Director
81,Trabajador_81,2024-01-03,49,M,2024-07-05,Auxiliar
82,Trabajador_82,2024-07-06,32,M,2025-04-08,Consultor
83,Trabajador_83,2020-09-22,40,F,2024-08-25,Director
84,Trabajador_84,2025-03-25,19,F,,Ingeniero
85,Trabajador_85,2025-05-05,43,M,,Consultor
86,Trabajador_86,2025-03-14,27,F,,Consultor
87,Trabajador_87,2024-02-25,63,M,,Analista
88,Trabajador_88,2025-03-03,26,F,,Coordinador
89,Trabajador_89,2025-04-08,20,M,,Consultor
90,Trabajador_90,2024-05-14,64,F,,Gerente
91,Trabajador_91,2023-11-19,62,F,2025-05-16,Analista
92,Trabajador_92,2024-08-15,58,M,,Auxiliar
93,Trabajador_93,2025-02-19,26,F,,Director
94,Trabajador_94,2025-11-28,20,M,,Ingeniero
95,Trabajador_95,2024-01-01,28,M,,Director
96,Trabajador_96,2025-06-04,60,M,,Auxiliar
97,Trabajador_97,2023-08-18,45,F,2024-09-15,Consultor
98,Trabajador_98,2025-12-10,42,M,,Auxiliar
99,Trabajador_99,2025-04-14,27,F,,Analista
100,Trabajador_100,2022-09-25,35,M,,Auxiliar
101,Trabajador_101,2024-07-24,22,M,2025-11-09,Auxiliar
102,Trabajador_102,2021-01-28,41,F,2024-05-17,Analista
103,Trabajador_103,2021-11-18,48,M,2025-05-22,Gerente
104,Trabajador_104,2023-11-16,46,F,,Auxiliar
105,Trabajador_105,2023-06-01,22,M,2024-06-17,Ingeniero
106,Trabajador_106,2021-02-10,31,F,2023-10-18,Gerente
107,Trabajador_107,2022-01-23,33,M,2023-02-04,Auxiliar
108,Trabajador_108,2023-06-21,40,F,2024-02-11,Consultor
109,Trabajador_109,2020-07-28,59,F,2021-07-21,Ingeniero
110,Trabajador_110,2021-09-08,65,F,2021-11-03,Consultor
111,Trabajador_111,2022-12-16,44,M,,Analista
112,Trabajador_112,2023-05-09,58,F,,Consultor
113,Trabajador_113,2020-10-16,26,F,2023-05-10,Analista
114,Trabajador_114,2024-06-02,49,F,2025-12-04,Consultor
115,Trabajador_115,2025-07-26,26,M,2025-10-13,Gerente
116,Trabajador_116,2025-09-25,28,M,,Consultor
117,Trabajador_117,2021-02-14,33,F,2021-08-06,Gerente
118,Trabajador_118,2024-12-09,64,M,,Auxiliar
119,Trabajador_119,2021-11-09,40,F,,Auxiliar
120,Trabajador_120,2021-10-04,23,M,2025-05-21,Ingeniero
